concentration;id;start_date;start_hour;end_date;end_hour;emergence
0;9;10/01/2023;14:05;23/01/2023;14:30;0
0;10;10/01/2023;15:16;23/01/2023;14:30;0
2.5;1;10/01/2023;10:46;23/01/2023;14:30;0
2.5;2;10/01/2023;11:02;23/01/2023;14:30;0
2.5;3;10/01/2023;11:18;23/01/2023;14:30;0
2.5;4;10/01/2023;11:37;23/01/2023;14:30;0
2.5;5;10/01/2023;11:54;23/01/2023;14:30;0
2.5;6;10/01/2023;12:49;23/01/2023;14:30;1
2.5;7;10/01/2023;13:09;23/01/2023;14:30;2
2.5;8;10/01/2023;13:28;23/01/2023;14:30;0
2.5;9;10/01/2023;14:59;23/01/2023;14:30;0
2.5;10;10/01/2023;15:19;23/01/2023;14:30;0
1;1;10/01/2023;10:48;23/01/2023;14:30;0
1;2;10/01/2023;11:03;23/01/2023;14:30;0
1;3;10/01/2023;11:21;23/01/2023;14:30;0
1;4;10/01/2023;11:39;23/01/2023;14:30;0
1;5;10/01/2023;11:56;23/01/2023;14:30;0
1;6;10/01/2023;12:51;23/01/2023;14:30;0
1;7;10/01/2023;13:10;23/01/2023;14:30;0
1;8;10/01/2023;13:31;23/01/2023;14:30;0
1;9;10/01/2023;15:01;23/01/2023;14:30;0
1;10;10/01/2023;15:21;23/01/2023;14:30;0
0.5;1;10/01/2023;10:50;23/01/2023;14:30;0
0.5;2;10/01/2023;11:05;23/01/2023;14:30;0
0.5;3;10/01/2023;11:23;23/01/2023;14:30;0
0.5;4;10/01/2023;11:41;23/01/2023;14:30;0
0.5;5;10/01/2023;11:57;23/01/2023;14:30;0
0.5;6;10/01/2023;12:53;23/01/2023;14:30;0
0.5;7;10/01/2023;13:13;23/01/2023;14:30;1
0.5;8;10/01/2023;13:34;23/01/2023;14:30;0
0.5;9;10/01/2023;15:03;23/01/2023;14:30;0
0.5;10;10/01/2023;15:27;23/01/2023;14:30;0
0.1;1;10/01/2023;10:52;23/01/2023;14:30;0
0.1;2;10/01/2023;11:08;23/01/2023;14:30;0
0.1;3;10/01/2023;11:25;23/01/2023;14:30;0
0.1;4;10/01/2023;11:43;23/01/2023;14:30;0
0.1;5;10/01/2023;12:00;23/01/2023;14:30;0
0.1;6;10/01/2023;12:55;23/01/2023;14:30;0
0.1;7;10/01/2023;13:16;23/01/2023;14:30;0
0.1;8;10/01/2023;13:53;23/01/2023;14:30;0
0.1;9;10/01/2023;15:06;23/01/2023;14:30;0
0.1;10;10/01/2023;16:08;23/01/2023;14:30;0
0.02;1;10/01/2023;10:54;23/01/2023;14:30;0
0.02;2;10/01/2023;11:11;23/01/2023;14:30;0
0.02;3;10/01/2023;11:27;23/01/2023;14:30;0
0.02;4;10/01/2023;11:46;23/01/2023;14:30;0
0.02;5;10/01/2023;12:02;23/01/2023;14:30;0
0.02;6;10/01/2023;12:58;23/01/2023;14:30;0
0.02;7;10/01/2023;13:18;23/01/2023;14:30;0
0.02;8;10/01/2023;13:55;23/01/2023;14:30;0
0.02;9;10/01/2023;15:09;23/01/2023;14:30;0
0.02;10;10/01/2023;16:10;23/01/2023;14:30;0
0.004;1;10/01/2023;10:56;23/01/2023;14:30;0
0.004;2;10/01/2023;11:13;23/01/2023;14:30;0
0.004;3;10/01/2023;11:29;23/01/2023;14:30;0
0.004;4;10/01/2023;11:48;23/01/2023;14:30;0
0.004;5;10/01/2023;12:04;23/01/2023;14:30;0
0.004;6;10/01/2023;13:00;23/01/2023;14:30;0
